option_style,option_type,strike,underlying_price,maturity_days,T,r,sigma,option_price,IV,LTP,Bid,Ask,dt,n_paths
Barrier,put,118.02857225639664,94.9816047538945,385,1.530989398169959,0.0638792635777333,0.1624074561769746,15.187848466508797,0.1624074561769746,15.187848466508797,15.036,15.3397,0.003968253968253968,1000
Barrier,put,83.70673233444734,83.75387990753055,307,1.2194646164422462,0.051491910516451016,0.24082528773069264,6.216087102854291,0.24082528773069264,6.216087102854291,6.1539,6.2782,0.003968253968253968,1000
Barrier,put,85.04750416713122,117.76051728822485,394,1.5639522324434163,0.04313454683299705,0.1958876452279669,0.496485358544147,0.1958876452279669,0.496485358544147,0.4915,0.5015,0.003968253968253968,1000
Barrier,put,100.363181113414,88.40649602158197,469,1.8612545780521903,0.03039503348892936,0.30107873012727104,18.85105323005571,0.30107873012727104,18.85105323005571,18.6625,19.0396,0.003968253968253968,1000
Barrier,put,101.12876013480454,115.48200296191212,276,1.0970923374600394,0.02664441433008147,0.4432109748416611,7.6113018329289295,0.4432109748416611,7.6113018329289295,7.5352,7.6874,0.003968253968253968,1000
Barrier,put,99.88266909337067,95.29908474902724,389,1.545230406170401,0.051482639451771665,0.21240897011010876,8.356286043728335,0.21240897011010876,8.356286043728335,8.2727,8.4398,0.003968253968253968,1000
Barrier,put,119.58829047433835,99.72954242700379,158,0.6271249938500064,0.09670472521999665,0.13578536137627903,13.303592958914773,0.13578536137627903,13.303592958914773,13.1706,13.4366,0.003968253968253968,1000
Barrier,put,106.38450997853708,108.32338800856768,480,1.9064746234808345,0.09818611662736872,0.18930506581324869,2.8284672873564953,0.18930506581324869,2.8284672873564953,2.8002,2.8568,0.003968253968253968,1000
Barrier,put,103.14775720843801,105.86636921861304,496,1.9710191495979914,0.07532695835867426,0.4612486383811235,10.711569330611301,0.4612486383811235,10.711569330611301,10.6045,10.8187,0.003968253968253968,1000
Barrier,put,96.57716043076734,81.20283581008638,336,1.33422362380957,0.011930656059403138,0.3301888872530769,20.820938528817152,0.3301888872530769,20.820938528817152,20.6127,21.0291,0.003968253968253968,1000
Barrier,put,106.56876160123382,101.30146804564662,138,0.5511547083602659,0.029194516045007453,0.15418453003895022,6.624972125470203,0.15418453003895022,6.624972125470203,6.5587,6.6912,0.003968253968253968,1000
Barrier,put,110.52714332754654,111.8150761573262,451,1.7919485586571893,0.05667044177471873,0.359926562331229,9.627408027980245,0.359926562331229,9.627408027980245,9.5311,9.7237,0.003968253968253968,1000
Barrier,put,88.66480455933839,116.66738923870695,272,1.0832103611983137,0.07031479544388486,0.3955927391092732,3.0409973942520465,0.3955927391092732,3.0409973942520465,3.0106,3.0714,0.003968253968253968,1000
Barrier,put,94.37360681667127,88.7600404964232,207,0.823634279688993,0.05016160580393524,0.20775497657896336,7.751937128232605,0.20775497657896336,7.751937128232605,7.6744,7.8295,0.003968253968253968,1000
Barrier,put,104.87742533013659,84.77208140856678,445,1.7693227740151132,0.05066727452474729,0.3429695079491835,21.043704072568442,0.3429695079491835,21.043704072568442,20.8333,21.2541,0.003968253968253968,1000
Barrier,put,84.97786020855118,107.3660185931433,153,0.6080226163277841,0.016973372197396853,0.27966720702119985,1.2879196156662354,0.27966720702119985,1.2879196156662354,1.275,1.3008,0.003968253968253968,1000
Barrier,put,94.15915133823194,84.61205746079767,293,1.1644988352625103,0.0683427932654814,0.31366294445724296,12.81274997954953,0.31366294445724296,12.81274997954953,12.6846,12.9409,0.003968253968253968,1000
Barrier,put,91.96672599357136,115.45390522933712,257,1.0219354270899967,0.044034286002406525,0.16534270488719136,0.3325285207998928,0.16534270488719136,0.3325285207998928,0.3292,0.3359,0.003968253968253968,1000
Barrier,put,114.49430159940421,109.18429660771635,167,0.6659659193661693,0.07291811556553322,0.43703711200995615,12.089750716210379,0.43703711200995615,12.089750716210379,11.9689,12.2106,0.003968253968253968,1000
Barrier,put,82.20670075181269,115.26801287164602,385,1.5304564406530357,0.028710073199835907,0.28091210709494696,1.8972246452480779,0.28091210709494696,1.8972246452480779,1.8783,1.9162,0.003968253968253968,1000
Barrier,put,87.46441281000632,80.73442311953465,495,1.9648549109561957,0.06251698377248835,0.30497193855896887,10.321802734675522,0.30497193855896887,10.321802734675522,10.2186,10.425,0.003968253968253968,1000
Barrier,put,93.04710711986479,98.6270068493349,239,0.951368709928191,0.022670480149520805,0.11161998911185017,1.4339063390217486,0.11161998911185017,1.4339063390217486,1.4196,1.4482,0.003968253968253968,1000
Barrier,put,85.55907723272759,101.12451641181207,120,0.47700816499672866,0.01364239977776673,0.3544415245110259,2.901860027013548,0.3544415245110259,2.901860027013548,2.8728,2.9309,0.003968253968253968,1000
Barrier,put,119.0966074213528,90.18086348372277,400,1.588819847054006,0.06773160046499205,0.47698484182821455,26.391096165592934,0.47698484182821455,26.391096165592934,26.1272,26.655,0.003968253968253968,1000
Barrier,put,86.97117560412624,109.94192327266178,437,1.7376071799894162,0.04900996904595351,0.4769689335910696,7.1387513883777505,0.4769689335910696,7.1387513883777505,7.0674,7.2101,0.003968253968253968,1000
Barrier,put,103.87806007301492,116.84158445475849,125,0.4969534734999773,0.06956448529724105,0.24515851703828082,2.2333329798533894,0.24515851703828082,2.2333329798533894,2.211,2.2557,0.003968253968253968,1000
Barrier,put,84.62410813540328,102.23001748820265,148,0.5910077090410149,0.05554834876099518,0.47898398913077883,5.265463441364147,0.47898398913077883,5.265463441364147,5.2128,5.3181,0.003968253968253968,1000
Barrier,put,80.75336631371256,93.615185055188,241,0.9588724179025659,0.07845784428095576,0.307610532066074,3.246648111820111,0.307610532066074,3.246648111820111,3.2142,3.2791,0.003968253968253968,1000
Barrier,put,105.62134596135844,91.7639425868114,131,0.5216670957622154,0.027308473157396596,0.24875451691552297,15.306527800310686,0.24875451691552297,15.306527800310686,15.1535,15.4596,0.003968253968253968,1000
Barrier,put,112.58310976938013,106.1118715102101,149,0.5914520546902188,0.01134461293515821,0.3546517332162368,13.78736890341417,0.3546517332162368,13.78736890341417,13.6495,13.9252,0.003968253968253968,1000
Barrier,put,85.86673535971303,107.83717975152531,292,1.161418675626839,0.04200301040656318,0.23892505915024997,1.789127481425144,0.23892505915024997,1.789127481425144,1.7712,1.807,0.003968253968253968,1000
Barrier,put,89.57145295313649,83.62646100541157,498,1.9790079972286352,0.09427592529016146,0.21962663260560067,5.968643312577716,0.21962663260560067,5.968643312577716,5.909,6.0283,0.003968253968253968,1000
Barrier,put,108.12958555865825,103.14792259693166,259,1.0297125881208784,0.02415813750646862,0.27860180943806995,11.15143661002827,0.27860180943806995,11.15143661002827,11.0399,11.263,0.003968253968253968,1000
Barrier,put,83.91564538773767,96.22032942035172,450,1.7890544382308533,0.06792144858445731,0.16994678544439323,1.408444157525162,0.16994678544439323,1.408444157525162,1.3944,1.4225,0.003968253968253968,1000
Barrier,put,103.9876500076024,91.73121756527297,430,1.7095585178986035,0.059388198377157565,0.20668845863243412,11.062427243057614,0.20668845863243412,11.062427243057614,10.9518,11.1731,0.003968253968253968,1000
Barrier,put,86.27508421414346,102.3105376537439,103,0.4108605089114463,0.07099583838774545,0.27054236785521085,0.9554158946630542,0.27054236785521085,0.9554158946630542,0.9459,0.965,0.003968253968253968,1000
Barrier,put,93.33179914114454,114.87050515504438,173,0.6901804067475779,0.056146919836289284,0.35585846277327815,2.6932629067859035,0.35585846277327815,2.6932629067859035,2.6663,2.7202,0.003968253968253968,1000
Barrier,put,91.976449050486,81.60715696553518,310,1.230650128940194,0.012442546080581745,0.4473868968479917,21.04891566223126,0.4473868968479917,21.04891566223126,20.8384,21.2594,0.003968253968253968,1000
Barrier,put,83.65436781607946,115.93702203115905,426,1.690508091370091,0.08302892975201831,0.3700488232282743,2.31350786105763,0.3700488232282743,2.31350786105763,2.2904,2.3366,0.003968253968253968,1000
Barrier,put,95.27499464679535,99.67975428124554,170,0.6752252653154663,0.05929261199019445,0.37103372492775816,8.459941502319426,0.37103372492775816,8.459941502319426,8.3753,8.5445,0.003968253968253968,1000
Barrier,put,93.41519100903736,87.21980332722767,353,1.4020284167744648,0.06504586857257193,0.23849121129814624,8.401580490361585,0.23849121129814624,8.401580490361585,8.3176,8.4856,0.003968253968253968,1000
Barrier,put,100.65352973642761,104.79092473061307,198,0.7871170447165408,0.041556457170352015,0.24376495019266542,4.940607389082507,0.24376495019266542,4.940607389082507,4.8912,4.99,0.003968253968253968,1000
Barrier,put,95.0115701123926,98.05861007358806,300,1.1906471794999867,0.05137424681907355,0.3659419331853637,9.569137280774244,0.3659419331853637,9.569137280774244,9.4734,9.6648,0.003968253968253968,1000
